"filename", "language", "TypeScript React", "CSS", "TypeScript", "XML", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\K\Desktop\gym-app\front\src\components\modals\CreateOfferModal.tsx", "TypeScript React", 116, 0, 0, 0, 0, 0, 0, 11, 127
"c:\Users\K\Desktop\gym-app\front\src\components\modals\DeleteCommentModal.tsx", "TypeScript React", 39, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\K\Desktop\gym-app\front\src\components\modals\DeleteOfferModal.tsx", "TypeScript React", 41, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\K\Desktop\gym-app\front\src\components\modals\DeleteTimetablesModal.tsx", "TypeScript React", 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\K\Desktop\gym-app\front\src\components\modals\DeleteUserModal.tsx", "TypeScript React", 44, 0, 0, 0, 0, 0, 0, 6, 50
"c:\Users\K\Desktop\gym-app\front\src\components\modals\EditOfferModal.tsx", "TypeScript React", 97, 0, 0, 0, 0, 0, 0, 11, 108
"c:\Users\K\Desktop\gym-app\front\src\components\modals\EditTimetableModal.tsx", "TypeScript React", 139, 0, 0, 0, 0, 0, 0, 9, 148
"c:\Users\K\Desktop\gym-app\front\src\components\modals\EditUserModal.tsx", "TypeScript React", 198, 0, 0, 0, 0, 0, 0, 15, 213
"c:\Users\K\Desktop\gym-app\front\src\components\modals\ErrorTextModal.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\K\Desktop\gym-app\front\src\components\modals\LoginModal.tsx", "TypeScript React", 107, 0, 0, 0, 0, 0, 0, 10, 117
"c:\Users\K\Desktop\gym-app\front\src\components\modals\ModalFormGroup.tsx", "TypeScript React", 32, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\K\Desktop\gym-app\front\src\components\modals\ModalFormGroupList.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\K\Desktop\gym-app\front\src\components\modals\ProfileEditModal.tsx", "TypeScript React", 137, 0, 0, 0, 0, 0, 0, 12, 149
"c:\Users\K\Desktop\gym-app\front\src\components\modals\PurchaseSubscriptionModal.tsx", "TypeScript React", 101, 0, 0, 0, 0, 0, 0, 10, 111
"c:\Users\K\Desktop\gym-app\front\src\components\modals\SignupModal.tsx", "TypeScript React", 191, 0, 0, 0, 0, 0, 0, 10, 201
"c:\Users\K\Desktop\gym-app\front\src\components\modals\TrainerEditBalanceModal.tsx", "TypeScript React", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\K\Desktop\gym-app\front\src\components\modals\UserAttendencyModal.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 0, 6, 64
"c:\Users\K\Desktop\gym-app\front\src\components\navbar\Navbar.css", "CSS", 0, 145, 0, 0, 0, 0, 0, 22, 167
"c:\Users\K\Desktop\gym-app\front\src\components\navbar\Navbar.tsx", "TypeScript React", 179, 0, 0, 0, 0, 0, 0, 20, 199
"c:\Users\K\Desktop\gym-app\front\src\components\protectedRoute\ProtectedRoute.tsx", "TypeScript React", 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\K\Desktop\gym-app\front\src\components\reservationWindowForm\ReservationWindowForm.css", "CSS", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\K\Desktop\gym-app\front\src\components\reservationWindowForm\ReservationWindowForm.tsx", "TypeScript React", 290, 0, 0, 0, 0, 0, 0, 17, 307
"c:\Users\K\Desktop\gym-app\front\src\components\trainersCards\TrainersCards.css", "CSS", 0, 31, 0, 0, 0, 0, 0, 9, 40
"c:\Users\K\Desktop\gym-app\front\src\components\trainersCards\TrainersCards.tsx", "TypeScript React", 47, 0, 0, 0, 0, 0, 0, 4, 51
"c:\Users\K\Desktop\gym-app\front\src\components\unauthorized\Unauthorized.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\K\Desktop\gym-app\front\src\index.tsx", "TypeScript React", 14, 0, 0, 0, 0, 0, 3, 3, 20
"c:\Users\K\Desktop\gym-app\front\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\K\Desktop\gym-app\front\src\pages\adminTimetable\AdminTimetable.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\K\Desktop\gym-app\front\src\pages\adminTimetable\AdminTimetable.tsx", "TypeScript React", 194, 0, 0, 0, 0, 0, 0, 18, 212
"c:\Users\K\Desktop\gym-app\front\src\pages\createTimeTable\CreateTimeTable.css", "CSS", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\K\Desktop\gym-app\front\src\pages\createTimeTable\CreateTimeTable.tsx", "TypeScript React", 124, 0, 0, 0, 0, 0, 0, 19, 143
